ref,slug,stage,potential,sellerAskEUR,replacementCostEUR,marketComparableProxyEUR,incomeLicensingProxyEUR,technicalCompletionProbability,commercializationProbability,rightsTransferReserve,timeRiskFactor,probabilityAdjustedStrategicValueEUR,triangulatedEconomicReferenceEUR,askShareOfTriangulated
TA-IP-002,ossn-uap,P,M,45000,400000,260100,229500,0.75,0.4,0.85,0.85,128966,243058,0.185141
TA-IP-003,athanor,V,S,95000,520000,382200,265200,0.95,0.25,0.85,0.95,130891,305292,0.311177
TA-IP-004,stabilitymesh,V,H,155000,600000,724500,688500,0.95,0.55,0.85,0.95,730974,688441,0.225146
TA-IP-005,continuum-state-integrity-platform,P,S,30000,320000,199920,122400,0.75,0.25,0.85,0.85,56897,164378,0.182506
TA-IP-006,omnisynth-intelligence-engine,R,H,25000,300000,246675,232875,0.5,0.55,0.85,0.7,148490,222882,0.112167
TA-IP-007,faunometric,V,M,155000,600000,459000,594000,0.95,0.4,0.85,0.95,273864,456452,0.339576
TA-IP-008,modular-key-cryptanalysis-platform,V,S,90000,430000,316050,296700,0.95,0.25,0.85,0.95,108237,267933,0.335905
TA-IP-009,truelane-flora,V,H,270000,900000,1138500,1336500,0.95,0.55,0.85,0.95,1148674,1122036,0.240634
TA-IP-010,custody-integrity-assurance-platform,P,H,140000,750000,769781,835313,0.75,0.55,0.85,0.85,645424,734417,0.190627
TA-IP-011,tls-virtual,V,H,195000,650000,784875,965250,0.95,0.55,0.85,0.95,791889,789686,0.246934
TA-IP-012,research-intelligence-fabric,V,H,280000,850000,1075250,1319625,0.95,0.55,0.85,0.95,1084859,1071176,0.261395
TA-IP-013,evidence-governed-visual-intelligence-platform,V,VH,350000,1150000,1897500,2530000,0.95,0.7,0.85,0.95,3056801,2242880,0.156049
TA-IP-015,truelane-intelligence-engine,V,H,255000,850000,1075250,1262250,0.95,0.55,0.85,0.95,1084859,1059701,0.240634
TA-IP-016,programmatic-search-fabric,V,VH,265000,700000,1155000,1610000,0.95,0.7,0.85,0.95,1860662,1379232,0.192136
TA-IP-017,protein-structure-evidence-qualification-platform,R,S,15000,350000,135362,89250,0.5,0.25,0.85,0.7,27658,142103,0.105557
TA-IP-018,signal-processing-universal-framework,V,H,120000,400000,483000,594000,0.95,0.55,0.85,0.95,487316,485961,0.246933
TA-IP-019,air-to-water-transition-vehicle,P,S,40000,400000,214200,153000,0.75,0.25,0.85,0.85,60961,194776,0.205364
TA-IP-020,verifiable-execution-control-platform,V,VH,415000,1050000,1732500,2415000,0.95,0.7,0.85,0.95,2790993,2068848,0.200595
TA-IP-021,organizational-memory-engine,V,VH,635000,1600000,2520000,3680000,0.95,0.7,0.85,0.95,4059626,3060869,0.207457
TA-IP-022,machine-cognition-research-framework,P,M,60000,500000,420750,286875,0.75,0.4,0.85,0.85,208622,339543,0.176708
TA-IP-023,cipher-lyric-engine,V,H,300000,1000000,1150000,1417500,0.95,0.55,0.85,0.95,1160277,1169597,0.256499
TA-IP-024,distributed-ai-resource-fabric,V,VH,290000,800000,1320000,1760000,0.95,0.7,0.85,0.95,2126470,1560264,0.185866
TA-IP-025,dmt-laser-phenomenology-engine,V,S,135000,650000,386750,448500,0.95,0.25,0.85,0.95,132449,375907,0.359131
TA-IP-026,universal-kernel-machine,P,M,65000,550000,462825,315562,0.75,0.4,0.85,0.85,229484,373497,0.174031
TA-IP-027,sensor-fusion-digital-twin-engine,V,H,235000,780000,941850,1158300,0.95,0.55,0.85,0.95,950267,947623,0.247989
